"garden_yr","garden_yr_richness","garden_yr_diversity","garden_yr_total_cover","garden_yr_wild_richness","garden_yr_wild_diversity","garden_yr_wild_total_cover","garden_yr_cult_richness","garden_yr_cult_diversity","garden_yr_cult_total_cover","garden","city","impervious_1000","year","round","garden_yr_beta","garden_yr_beta_wild","garden_yr_beta_cult"
"KLG_2023",10.75,5.22742441666667,68.3333333333333,7.75,4.17761332188877,40.3333333333333,2.83333333333333,2.07067565749477,33.3333333333333,"KLG","Berlin",96.16,2023,1,0.919381651805422,0.901132208539808,0.94485958474085
"KP_2021",6.3125,3.98381757688962,41.5625,5.4375,3.58861351325281,34.78125,0.875,0.751233077082948,6.78125,"KP","Munich",17.05,2021,1,0.701661111406681,0.631029084074474,0.964142234022152
"KP_2022",4.58620689655172,3.11957155172414,29.448275862069,4.17241379310345,2.83040287387789,27.3448275862069,0.344827586206897,0.330049261083744,1.68965517241379,"KP","Munich",17.05,2022,1,0.660154757391999,0.594725711028943,0.911979959413512
"KP_2023",5,2.76542783333333,52.6666666666667,4.5,2.63885889402713,44.3333333333333,0.5,0.431159420289855,8.33333333333333,"KP","Munich",17.05,2023,2,0.734996674692498,0.639868626289653,0.866025403974995
"MG_2022",4.78125,3.0460039375,23.5625,3.5625,2.44426831557342,15.78125,1,0.811909485774546,6.90625,"MG","Berlin",63.6,2022,1,0.933713334699078,0.931929599217735,0.948571938069399
"MG_2023",9.08333333333333,4.7922725,44,7.41666666666667,4.27895100074477,32.375,1.29166666666667,0.924839653908464,9.5,"MG","Berlin",63.6,2023,1,0.863260080359611,0.859736862608424,0.792766684369731
"OBZ_2021",8.625,4.69849498842789,66.125,4.6875,3.38097147808712,20.46875,3.9375,2.72234702693685,46.75,"OBZ","Munich",37.2,2021,1,0.965606350759851,0.936451309536413,0.971778760785232
"OBZ_2022",8.65625,4.47668121875,54.21875,4.75,3.60865698359042,13.125,2.84375,1.87443773667596,36.1875,"OBZ","Munich",37.2,2022,1,0.942566865599598,0.915211573016846,0.958011053785517
"OBZ_2023",9.19047619047619,4.82503671428571,63.0476190476191,4.66666666666667,2.87234720036306,17.5238095238095,3.9047619047619,2.89925065187956,42.2857142857143,"OBZ","Munich",37.2,2023,1,0.944460381898141,0.899783595718849,0.959834403323303
"OB_2021",7.71875,4.94955723066083,30.8125,7.40625,4.99711537471252,28,0.3125,0.235977262460473,2.8125,"OB","Munich",36.75,2021,1,0.82985903746538,0.804279326694108,0.894427191296331
"OB_2022",6.45833333333333,4.36067283333333,17.8333333333333,6.29166666666667,4.25659594701961,16.5833333333333,0.125,0.125,0.958333333333333,"OB","Munich",36.75,2022,1,0.877616939727933,0.862834528898787,0.816496580927793
"OPI_2021",4.77272727272727,3.14368474107846,21.8636363636364,3.77272727272727,2.98622892834437,10.7272727272727,1,0.747733364944143,11.1363636363636,"OPI","Munich",44.43,2021,1,0.920964669765715,0.886549796575467,0.926071389258975
"OPI_2022",4.38461538461539,2.86165738461538,23.3461538461538,2.61538461538462,2.00602023117426,9.42307692307692,1.46153846153846,1.11640798921322,11.7692307692308,"OPI","Munich",44.43,2022,1,0.93223201436379,0.914671787554121,0.914634092497357
