"Species","Cultivated","Wild"
"Pterocarya.sp.","X",NA
"Pulicaria.vulgaris",NA,"X"
"Pulmonaria.officinalis","X",NA
"Puschkinia.scilloides","X",NA
"Pyracantha.coccinea","X",NA
"Pyrus.communis","X",NA
"Quercus.sp.",NA,"X"
"Ranunculus.acris",NA,"X"
"Ranunculus.flammula",NA,"X"
"Ranunculus.repens",NA,"X"
"Ranunculus.sp.",NA,"X"
"Raphanus.raphanistrum","X","X"
"Raphanus.sativus","X","X"
"Raphanus.sp.","X","X"
"Reseda.lutea","X","X"
"Rheum.rhabarbarum","X",NA
"Rheum.sp.","X",NA
"Rheum.x.hybridum","X",NA
"Rhododendron.sp.","X",NA
"Ribes.nigrum","X","X"
"Ribes.rubrum","X",NA
"Ribes.sp.","X","X"
"Ribes.uva.crispa","X",NA
